OID_,NAME,MonumentsToVisit_INFO,WEBSITE_LINK,external_link,ENTITY_ID,SMRS,COUNTY,LOCALITY,MONUMENT_CLASS,ITM_E,ITM_N,LATITUDE,LONGITUDE
23,"Kilmainham Gaol, County Dublin","One of the largest unoccupied gaols in Europe, covering some of the most heroic and tragic events in Ireland's emergence as a modern nation from 1780s to the 1920s. Attractions include a major exhibition detailing the political and penal history of the prison and its restoration. The tour of the prison includes an audio-visual show. Tours may be arranged for visitors with special needs by prior arrangement. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU018-125----,https://heritageireland.ie/visit/places-to-visit/kilmainham-gaol/,DU03781,DU018-125----,DUBLIN,KILMAINHAM,Prison,712563,733719,53.341714000000003,-6.309642000000000
24,"The 'Grianán of Aileach', County Donegal","On the summit of Greenan Mountain is the stone fort known as the Grianán of Aileach. From the site there are spectacular views over Lough Foyle, Lough Swilly and the surrounding countryside. The stone fort is believed to have been constructed during the 8th or 9th century as the seat of Cenél nEógain, rulers of the ancient kingdom of Aileach. The interior of the circular fort measures some 23m across and an entrance passage extends through the thickness of the massive encircling wall. This dry-stone wall stands some 5m high and incorporates a series of terraces that are accessed by stone steps. The monument clearly has ancient origins and surrounding the stone fort are the remains of a much older hillfort that was most likely constructed around 1000BC. There is also a small stone cairn nearby that is most likely a burial monument from the Neolithic or Early Bronze Age.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDG047-012005-,https://www.archaeology.ie/monument-of-the-month/archive/grianan-of-aileach-co-donegal,DG03009,DG047-012005-,DONEGAL,"SPEENOGE,TOULETT,AN CHEATHRÚ RIABHACH (TC An Bheart)",Hillfort,636598,919736,55.023825000000002,-7.427658000000000
25,"Newmills Corn and Flax Mills, County Donegal","The oldest surviving building here is said to be 400 years old. Indeed, the whole complex is an interesting reminder of a stage in the industrial development of this country which has now given way to a more sophisticated, but usually far less fascinating technology. The visitor to Newmills can experience the pleasure of seeing one of the largest waterwheels in Ireland in action as it drives the machinery of the corn mill.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.  ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDG060-016----,https://heritageireland.ie/visit/places-to-visit/newmills-corn-and-flax-mills/,DG03410,DG060-016----,DONEGAL,MILLTOWN (Killymasny ED),Mill - corn,612284,909088,54.929352999999999,-7.808347000000000
26,"Casino Marino, Dublin City","The Casino was designed by Sir William Chambers as a pleasure house for James Caulfeild, 1st Earl of Charlemont. It is one of the finest 18th century neo-classical buildings in Europe The Casino, meaning ""small house"", surprisingly contains 16 finely decorated rooms, endlessly rich in subtlety and design. It is a remarkable building - both in terms of structure and history Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU018-144----,https://heritageireland.ie/visit/places-to-visit/casino-marino/,DU03892,DU018-144----,DUBLIN,MARINO,Building,717983,737148,53.371335000000002,-6.227013000000000
27,"Tully Church, County Dublin","The old church of Tully near Cabinteely is situated on a low hill overlooking much of south county Dublin and has fine views of the Dublin Mountains. The church at Tully is referred to in the ancient Irish texts as ‘the hill of the bishops’ and was closely associated with St. Brigid’s famous foundation at Kildare. Around the middle of the 12th century, Tully church and the surrounding lands were granted to Christ Church in Dublin by Sitric Mac Torcaill, Viking ruler of Dublin. Only the foundations of the early nave survive, with a fine granite arch dividing it from the chancel that was added during the early 13th century.  At the east end of the chancel are two round headed windows. Overlooking the lane approaching the graveyard is a ringed High Cross, possibly dating to the early 10th century.  The top has been shaped into a gabled roof with shingles and finials at the ends. In the field to the northwest is a 12th century granite High Cross.  The cross depicts the figure of a bearded bishop holding a crozier. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU026-023001-,https://www.antaisce.org/blog/tully-church-and-high-crosses ,DU02263,DU026-023001-,DUBLIN,LAUGHANSTOWN,Church,723314,723421,53.246817999999998,-6.152279000000000
28,"Kilconnell Friary, County Galway","The Franciscan Friary at Kilconnell was founded by the O’Kelly lords of the ancient territory Uí Maine at the beginning of the 15th century. In the early 15th century the friary consisted of a long church comprising a nave and chancel, with a cloister and domestic buildings to the north. The tower was added later in the 15th century, as well as an aisle and a transept to the south of the church. Near the door at the west end of the church, is a tomb featuring wonderful carvings of St. John the Evangelist, St. Louis of Toulouse, The Virgin, St. John the Baptist, St. James of Compostela and St. Denis of Paris beneath a spectacular canopy of ‘flamboyant’ tracery. Above the canopy are two small figures, one of St. Francis and the other of a Bishop. The tomb dates to the early 16th century, although is not known whom it commemorates. The friary was officially dissolved in 1541 and in 1596 was occupied by English troops for a time. However, in 1617 it was claimed that the buildings were intact and still in use, with a community of six friars. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA086-001----,https://www.archaeology.ie/monument-of-the-month/archive/kilconnell-friary-co-galway,GA03895,GA086-001----,GALWAY,ABBEYFIELD,Religious house - Franciscan friars,573299,731457,53.332684000000000,-8.400867999999999
29,"Aughnanure Castle, County Galway","Built by the O'Flahertys c. 1500, Aughnanure Castle lies in picturesque surroundings close to the shores of Lough Corrib.  In 1546 the O'Flaherty's motto ""Fortune favours the strong"" and the powerful Mayo O'Malleys Motto ""Powerful by land and by sea"", were joined in the marriage of Donal an Chogaidh O'Flaherty and Grainuaile/Grace O'Malley.  Standing on what is virtually a rocky island, the castle is a particularly well-preserved example of an Irish tower house. In addition, visitors will find the remains of a banqueting hall, a watch tower, an unusual double bawn and bastions and a dry harbour. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA054-002----,https://heritageireland.ie/visit/places-to-visit/aughnanure-castle/,GA02258,GA054-002----,GALWAY,AUGHNANURE,Castle - tower house,515202,741718,53.418759000000001,-9.275689000000000
30,"Dún Aonghasa, County Galway","Perched spectacularly on a cliff overlooking the Atlantic ocean, this is the largest of the prehistoric stone forts of the Aran Islands. It is enclosed by three massive dry-stone walls and a ""chevaux-de-frise"" consisting of tall blocks of limestone set vertically into the ground to deter attackers. The fort is about 900m from the Visitor Centre and is approached over rising ground. Access for visitors with disabilities to the Visitor Centre.  As much of the tour is outdoors, visitors are advised to wear weather protective clothing and shoes suitable for walking over uneven terrain. Please note that Dún Aonghasa is a vulnerable site. Visitors are therefore asked to co-operate with our effort to protect this monument by not interfering with this site in any way. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA110-039----,https://heritageireland.ie/visit/places-to-visit/dun-aonghasa/,GA06255,GA110-039----,GALWAY,CILL MHUIRBHIGH,Cliff-edge fort,481734,709778,53.125413000000002,-9.767075999999999
31,"Portumna Castle, County Galway","The great semi-fortified house at Portumna was built before 1618 by Richard Burke or de Burgo, 4th Earl of Clanricarde. It was the main seat of the de Burgo family for over 200 years, until it was gutted by fire in 1826. The ground floor of the house is now open to the public. To the north of the house are formal, geometrically laid out gardens which include the wonderfully restored 17th century walled kitchen garden.  Following its original plan the garden has been organically planted with fruit trees, flowers, herbs and vegetables, all combining to make it a treat to the senses. Portumna Castle is surrounded by the towns' local attractions - Lough Derg, the River Shannon and Portumna Forest Park.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA127-018----,https://heritageireland.ie/visit/places-to-visit/portumna-castle-and-gardens/,GA07457,GA127-018----,GALWAY,PORTUMNA DEMESNE,House - fortified house,585212,704026,53.086627000000000,-8.220746999999999
32,"Claregalway Friary, County Galway","Claregalway Friary was founded on the banks of the Clare River about 1250 for the Conventual Order of Franciscans by John de Cogan, who was one of the leaders of the Anglo-Norman conquest of Connaught. The church consists of a nave and chancel. A tall tower was added in the 15th century. There is also a north transept, as well as the remains of an aisle attached to the north side of the nave. In the chancel are a triple sedilia and an elaborate tomb niche. The wonderful east window of the chancel dates from the 15th century, but the remains of the 13th century windows are still visible. Under the arches of the tower are carvings of animal heads, and high up on the tower are projecting gargoyles that channelled rainwater away from the roof. To the south of the church are the square area of the former cloister and the remains of some of the associated buildings. In the late 16th century the friary became the property of the de Burgo (Burke) family. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA070-035001-,https://www.visitgalway.ie/explore/religious-and-spiritual/religious-ruins/claregalway-friary/,GA12433,GA070-035001-,GALWAY,BAILE CHLÁIR,Religious house - Franciscan friars,537103,733371,53.346820000000001,-8.944610000000001
33,"Athenry Castle, County Galway","Athenry is one of the most notable medieval walled towns surviving in Ireland, owing its foundation to Meiler de Bermingham who built his castle there c.1250.  The oldest part of the castle is the hall-keep.  It is a large rectangular building originally containing only a hall at first-floor level and dark storerooms at ground level.  For extra strength the lower part of the wall slopes out to form what is called a batter.    The only original entrance was at first-floor level and would have been reached by an external wooden stairs similar to the present reconstruction.  This gave direct access to the hall, the official and ceremonial reception room of the castle, where the lord received guests and tenants and presided over the manor court.  Heat was probably provided originally by a brazier in the centre of the hall, with the smoke exiting through a louver or opening in the roof directly above.  The garderobe or toilet is located diagonally across from the main entrance to the hall.  The fine carving on the exterior of the doorway and on the inner side of two of the window openings bears witness to the importance of the hall.  The capitals in both cases are carved with floral motifs in local style, known as the  ""School of the West"", transitional between Romanesque and Gothic.  Dating from the late 12th and early 13th centuries, this style can be found at the abbeys of Cong, Ballintubber and Boyle.     The battlements are original 13th century work with tall arrow loops or slits in the solid sections or merlons.  In the 15th century, these parapets were incorporated into steeply pitched gables at the north and south ends, for a new roof at this level.  Parts of the original enclosure wall of the castle survive.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA084-001006-,https://heritageireland.ie/visit/places-to-visit/athenry-castle/,GA13208,GA084-001006-,GALWAY,ATHENRY,Castle - Anglo-Norman masonry castle,550384,728021,53.300156000000001,-8.744335000000000
34,"Pearse's Cottage, County Galway","A small restored cottage overlooking the breath-taking lakes and mountains of Connemara, used by Patrick Pearse (1879-1916) leader of the 1916 Rising, as a summer residence and summer school for his pupils from St Endas, in Dublin. Accompanying Pearse on a visit to Ros Muc in 1915 was Desmond Ryan, a former pupil, who later wrote of the enthusiasm engendered by Pearse in his visits there: ""The Twelve Pins came in sight and Pearse waved his hand here and there over the land, naming lake, mountain and district away to the Joyce Country under its purple mist."" Ryan also recalled the long walks and cycle rides through the heart of the Connemara Gaeltacht and the stories told by Pearse that had been recounted to him by local story tellers.  The interior, although burned during the War of Independence, has been reconstructed and contains an exhibition. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CGA065-013----,https://heritageireland.ie/places-to-visit/ionad-culturtha-an-phiarsaigh-connemara-pearse-cottage/,GA13514,GA065-013----,GALWAY,AN TURLACH,House - vernacular house,492228,738518,53.385821999999997,-9.620079000000000
35,"Old Kilcullen Monastic Site, Co. Kildare","The ancient church of Old Kilcullen is situated on a high hill with panoramic views over the surrounding countryside. On the neighbouring hill of Dún Áilline are the remains of the ancient inauguration site of the early kings of Leinster. The ancient church site at Old Kilcullen was allegedly founded by St Patrick for Mac Tail, who died in 549. In 938 the church was plundered by the Vikings of Dublin. The site is dominated by the remains of a round tower, standing 11m high. Nearby is a tall shaft of a high cross. There is also a second shaft of a decorated high cross. On the east face are carvings of twelve figures, most likely the apostles. On the north face is a representation of David and a lion. Below this is a man with a bell and a crosier who is holding an adze. This appears to be a representation of Mac Tail whose name translates from Irish as ‘son of adze’.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKD028-049001-,https://www.kildare.ie/heritage/historic-sites/details.asp?GCID=112,KD01029,KD028-049001-,KILDARE,OLDKILCULLEN,Ecclesiastical site,682879,707136,53.108345999999997,-6.762178000000000
36,"Maynooth Castle, County Kildare","This great stone castle was founded in the early 13th century and became the principal residence of the Kildare branch of the Geraldines. The Kildare FitzGeralds extended their land holdings and influence, emerging as one of the most powerful families in Ireland with Maynooth Castle being one of the largest and richest Earl's houses. Garret Mór, known as the Great Earl of Kildare, governed Ireland in the name of the King of England from 1487 - 1513 and under his son, Garret Og the 9th Earl, the Castle became the centre of political power and culture. The original Keep, constructed c. 1203, was one of the largest of its kind in Ireland. Early in the 17th century the castle was remodelled and the main focus of the Castle shifted from the original Keep to the buildings in the east of the grounds. It was vested in the State in 1991 and a programme of restoration commenced in February 2000. There is an exhibition in the Keep on the history of the castle and the family.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKD005-015----,https://heritageireland.ie/visit/places-to-visit/maynooth-castle/,KD00113,KD005-015----,KILDARE,MAYNOOTH,Castle - Anglo-Norman masonry castle,693512,737661,53.380837999999997,-6.594461000000000
37,"Listowel Castle, County Kerry","The construction date of the earliest castle at Listowel dates to the 13th century but the present castle was probably built in the 15th century by the FitzMaurices. The castle stands on an elevation on a steep bank, overlooking the river Feale, above the location of a strategic ford. A substantial part of the front of the castle survives consisting of two large, square towers of four storeys, standing almost to the original height of 15.3 metres, connected by a wall of the same height and linked together by an arch on one side. A major programme of conservation works has been undertaken at the castle including the provision of an external staircase to allow public access to the upper levels.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE010-059----,https://heritageireland.ie/visit/places-to-visit/listowel-castle/,KE00617,KE010-059----,KERRY,LISTOWEL,Castle - tower house,498914,633592,52.444437000000001,-9.486961000000001
38,"Carrigafoyle Castle, County Kerry","Carrigafoyle Castle is situated at the mouth of the River Shannon, and was referred to as the ‘Guardian of the Shannon’ because of its strategic location overlooking the shipping lanes that supplied the city of Limerick. The castle was probably built in the 1490s by Conor Liath O’Connor. The name Carrigafoyle derives from the Irish Carrig an Phoill, meaning ‘rock of the hole’. The castle consists of a single tower, over 24m in height. During the rebellion of Gerald Fitzgerald, 15th Earl of Desmond the castle was fortified with a garrison of fifty Irish and sixteen Spanish soldiers, who had arrived in Ireland in 1579. The castle was attacked during Easter 1580 by government forces under Sir William Pelham, Lord Justice of Ireland. Tradition recounts the siege as seeing one of the first uses of artillery fire-power in Kerry. On the first day Pelham ordered troops to cross to the sea-wall, where they were pinned down by gunfire and had boulders thrown at them from the battlements. On the second day government reinforcements arrived. The castle walls cracked under the impact of a few shots of cannon and the west wall collapsed, crushing many inside. The remaining occupants of the castle were subsequently put to death. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE002-045----,https://www.discoverireland.ie/kerry/carrigafoyle-castle,KE00117,KE002-045----,KERRY,CARRIGAFOYLE,Castle - tower house,498720,647560,52.569906000000003,-9.494064000000000
39,"Ardfert, County Kerry","A monastery was founded here by St. Brendan 'The Navigator' in the 6th century. There are three medieval churches, an ogham stone and a number of early Christian and medieval grave slabs on the site today. The earliest building is the cathedral which dates from the 12th to 17th centuries. It has a fine Romanesque west doorway, a magnificent 13th century east window and a spectacular row of nine lancets in the south wall. Two effigies of ecclesiastical figures of late 13th to early 14th century date are mounted on either side of the east window. The battlements were added in the 15th century. The pre-12th century block of masonry is clearly visible in the north wall. One of the two smaller churches is a fine example of late Romanesque and the other is a plain 15th century structure with an interesting carving of a wyvern on one of the windows. Access for people with disabilities to exhibition area and viewing point. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE020-046002-,https://heritageireland.ie/visit/places-to-visit/ardfert-cathedral/,KE01242,KE020-046002-,KERRY,ARDFERT,Cathedral,478559,621173,52.328721999999999,-9.781736000000000
40,"Ross Castle, County Kerry","This Castle may be considered a typical example of the stronghold of an Irish Chieftain during the Middle Ages. The date of its foundation is uncertain but it was probably built in the late 15th century by one of the ODonoghue Ross chieftains. It is surrounded by a fortified bawn, its curtain walls defended by circular flanking towers, two of which remain. Much of the bawn was removed by the time the Barrack building was added on the south side of the castle sometime in the middle of the 18th century. The castle contains 16th and 17th century oak furniture.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE066-074001-,https://heritageireland.ie/visit/places-to-visit/ross-castle/,KE06279,KE066-074001-,KERRY,ROSS ISLAND,Castle - tower house,494932,588816,52.041356999999998,-9.531594999999999
41,"Reask Monastic Site, County Kerry","Nothing is known about the history of the ancient church site at Reask situated on the spectacular Dingle Peninsula. This monument comprises the remains of a stone church, cross-inscribed slabs, and a collection of stone hut or clocháns, all within the confines of a drystone enclosure. An internal stone wall intersects the site, and appears to have divided the site between the oratory and cemetery area and the living spaces. Excavations in the 1970s revealed evidence for a possible wooden church that was replaced by a stone church, of which only the foundations survive today. There are several cross-inscribed slabs at the site. The most impressive is the stone pillar decorated with a Maltese cross, spirals, circles, and the motif of a peacock. Also at the site are the site are the foundations of a series of stone huts or clocháns, several of which are conjoined. When fully constructed, the stone huts would have reflected the traditional building style of ‘beehive’ huts common at other sites on the Dingle Peninsula. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE042-060001-,https://dingle-peninsula.ie/component/zoo/item/reask-monastic-site.html,KE03301,KE042-060001-,KERRY,AN RIASC,Ecclesiastical enclosure,436671,604417,52.167378999999997,-10.387698000000000
42,"Kells Priory, County Kilkenny","Approaching Kells Priory today, with its walls and castellated towers, it looks more like a fortified settlement than a religious house. The priory was founded in 1193 for Augustinian Canons by Geoffrey fitz Robert, seneschal of Leinster. It became a wealthy establishment and by the time of its suppression by Henry VIII in 1540 it held 2,300 acres of land in Co. Kilkenny and received the tithes from 42 churches and chapels. The main priory enclosure is situated on the banks of the King’s River and contains extensive remains of the priory buildings, including the church and the domestic ranges around a square cloister to the south. The church was extended and altered many times between 1200 and 1540. Excavations in the 1970s showed how the church was embellished with decorated floor tiles, wall paintings and painted glass in the windows. The building to the north of the chancel was a Lady Chapel, while the tower attached to its south side was the residence of the prior in late medieval times. The nave had an aisle on its north side and a tall bell tower at its north-west corner, only the lower storey of which survives. The east range of the cloister had several rooms, including the community’s chapter house, while the first-floor room in the south range was a large refectory (dining hall). Around the mid 15th century the priory strengthened the precinct wall and added a large outer enclosure with a number of tower houses for the tenants of the priory on its perimeter. In medieval times a road ran through this outer enclosure.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKK027-029004-,https://heritageireland.ie/visit/places-to-visit/kells-priory/,KK02732,KK027-029004-,KILKENNY,RATHDUFF (Madden),Religious house - Augustinian canons,649749,643320,52.538950000000000,-7.266645000000000
43,"Jerpoint Abbey, County Kilkenny","An outstanding Cistercian abbey founded in the second half of the 12th century. The church with its Romanesque details dates from this period. In the transept chapels the visitor can see 13th to 16th century tomb sculpture. The tower and cloister date from the 15th century. The chief delight of the Abbey is the sculptured cloister arcade with unique carvings. The Visitor Centre houses an interesting exhibition. Access for visitors with disabilities. Guided tours available.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKK028-062005-,https://heritageireland.ie/visit/places-to-visit/jerpoint-abbey/,KK02955,KK028-062005-,KILKENNY,JERPOINTABBEY,Religious house - Cistercian monks,657169,640272,52.510829000000001,-7.157802000000000
44,"Skellig Michael, World Heritage Site, County Kerry","The magnificent Skellig Islands lie 8 miles (12 km) off the coast of Portmagee in South West Kerry. Rising majestically from the sea, Skellig Michael towers 714ft (218 metres) above sea level. On the summit of this awe inspiring rock you will find a remarkably well-preserved sixth century monastic settlement.  The earliest reference in history to the Skellig Islands dates back to 1400BC. During the time of the Penal Laws, Skellig Michael and Little Skellig became a haven for many Catholics whose beliefs and rights were being suppressed. The largest of the Skelligs is Skellig Michael (Sceilg Mhichil) and was home to one of the earliest monastic settlements in Ireland. These monks of St. Fionan's monastery led simple lives and lived in stone, beehive shaped huts. They would descend the 670 steps early every morning and fish for the morning's breakfast. They would spend most of the day praying in the church, tending to their gardens and studying. These huts, which were round on the outside and rectangular on the inside, were carefully built so that no drop of rain ever entered between the stones. The monks left the island in the thirteenth century and it became a place of pilgrimage. There is a fantastic wealth of bird life on and around the Skelligs, especially puffins in late spring and gannets on the small Skellig where 23,000 pairs nest on every available ledge making it the second largest gannet colony in the world. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKE104A001105-,https://heritageireland.ie/visit/places-to-visit/skellig-michael/,KE11684,KE104A001105-,KERRY,SCEILG MHICHÍL,Terrace,424796,560794,51.771999000000001,-10.538869000000000
45,"St. Mary's Church, Gowran, County Kilkenny","This collegiate church, was built in the late 13th century on the site of an earlier monastery. It was served by a ""college"" - clerics who lived in a community but who did not submit to the rule of a monastery. They lived in a house, now destroyed, beside the church. The church was a large and elaborate structure, with an aisled nave (the main part of the church where the congregation sat) and a long chancel (the section of the church where the altar was placed) and has high quality architectural sculpture used throughout. In the late middle ages a massive tower was inserted between the nave and chancel, and in the 19th century this tower was incorporated into the parish church which was built in place of the chancel and which now takes up about half of the building. There were also several other changes made to the church at various periods. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKK020-060006-,https://heritageireland.ie/visit/places-to-visit/st-marys-church-gowran/,KK02022,KK020-060006-,KILKENNY,GOWRAN,Church,663307,653484,52.628886000000001,-7.064868000000000
