Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
TIKNOCK,9,5,1,,61,65,22,1,61,73,22,3,55,67,19,3,,,,,,,,
,,,,,,,,,,,,,,,,,334,350,132,17,318,349,133,7
ARKLOW TOWNSHIP PART OF (F),,,,,,,,,,,,,,,,,159,220,66,9,184,217,71,8
TOTAL,711,734,202,12,620,588,198,8,550,520,187,22,514,563,193,12,493,570,198,26,502,566,204,15
BALLEESE LOWER,30,25,5,,28,20,5,,17,12,4,,18,17,6,,26,27,7,,18,16,6,
BALLEESE UPPER,26,23,7,,19,18,6,,19,18,7,,16,12,5,,6,10,2,,3,4,2,
BALLEESE WOOD,3,1,1,,4,8,1,,100,83,22,,4,5,1,,5,3,1,1,5,3,1,
BALLINDOYLE,3,4,1,,6,2,1,,7,3,1,,6,2,1,,5,2,1,,4,4,1,
GLASNARGET SOUTH,21,12,5,,14,10,5,,13,16,4,,13,19,5,,11,12,4,,10,9,4,
KEELOGES,8,6,3,,14,8,3,,9,10,3,,5,3,1,,4,4,1,,2,1,1,
MOUNTLUSK,11,8,2,,9,4,2,,4,2,1,,1,2,1,,3,3,1,,6,3,1,
SLIEVEROE,20,24,7,,19,23,6,1,68,47,13,,18,12,6,,11,13,4,,12,13,4,
TICLASH,22,25,6,,10,12,4,,5,9,3,,7,10,3,,10,11,3,,6,9,3,
TIMULLIN,6,2,1,,10,8,3,,2,3,3,,2,3,2,,3,6,1,,1,5,1,
TOTAL,150,130,38,,133,113,36,1,244,203,61,,90,85,31,,84,91,25,1,67,67,24,
BALLINVALLY,9,6,2,,24,23,8,,35,28,7,,22,18,8,,14,16,6,,3,3,1,
BALLINVALLY LOWER (ED Arklow Rural),5,8,3,,7,7,2,,6,5,1,,5,7,1,,4,8,2,,6,5,4,
BALLINVALLY UPPER (ED Arklow Rural),19,17,6,,4,7,2,,3,2,1,,3,4,1,,8,9,2,,,,,3
BALLYRUSH,6,4,2,,4,2,2,,3,2,1,1,7,4,2,,1,4,1,2,6,5,3,
BARNACLEAGH EAST,1,4,2,,,,,,5,5,2,,5,7,2,,,,,,,,,
BARNACLEAGH NORTH,20,20,6,,15,25,8,,13,11,15,,15,24,5,,9,13,2,,8,10,2,
BARNACLEAGH SOUTH,43,39,16,,51,40,16,1,45,43,7,,44,40,19,,10,10,3,,3,9,3,
CLONWILLIAM,27,26,6,,19,21,5,,20,18,5,,24,18,5,,29,30,9,,14,18,6,
KILLAHURLER LOWER,30,41,11,,35,29,11,,29,20,8,,19,19,7,,16,20,7,,22,24,8,
KILLAHURLER UPPER,64,57,19,1,46,52,16,,48,41,15,,44,34,13,,21,24,8,,17,20,7,
KNOCKMILLER,22,23,5,1,20,16,5,,7,8,3,,7,9,3,,6,11,3,,3,13,3,
MONAGLOGH,70,75,26,,45,40,18,,38,34,15,,40,34,19,,34,30,14,,22,23,14,
MOORESHILL,14,15,6,,13,18,4,,14,13,4,,9,12,4,,11,9,4,,2,5,2,
RAHEENLEAGH,3,2,1,,6,3,1,,5,3,1,,5,3,1,,5,2,1,,8,7,2,
SLIEVEFOORE,14,21,5,,16,22,6,,7,7,4,,9,8,5,,19,16,6,,10,8,4,
TOTAL,347,358,116,2,305,305,104,1,278,240,89,1,258,241,95,,187,202,68,2,122,150,59,3
BALLYGUILE BEG,30,35,11,1,25,29,12,,16,11,7,,19,13,5,,14,9,4,,14,5,4,
BALLYGUILE MORE,38,49,15,2,28,32,11,,23,31,8,1,30,26,8,,24,21,8,,20,23,8,
BLAINROE LOWER,10,9,3,1,10,6,3,1,15,12,4,1,13,3,2,2,7,4,1,1,7,3,1,
BLAINROE UPPER,28,34,9,1,17,18,4,1,9,8,1,3,8,6,2,,7,7,2,,7,4,2,
CORPORATION LANDS,126,107,43,1,,,,,12,8,4,2,86,95,37,,,,,,,,,
DUNBUR HEAD,10,9,4,2,21,28,6,2,19,19,7,,7,7,3,1,22,20,6,,16,15,6,1
DUNBUR LOWER,64,53,13,,26,20,9,,12,7,2,,5,3,1,,11,9,3,,11,14,4,
DUNBUR UPPER,14,10,4,,31,28,6,,34,30,8,,41,35,9,,16,15,4,,17,17,4,
KILPOOLE HILL,21,17,4,,3,2,1,,7,5,2,,8,7,2,1,8,7,2,,7,6,2,
KILPOOLE LOWER,24,21,7,,4,3,1,,4,2,1,,3,3,2,,4,4,3,,11,12,4,
KILPOOLE UPPER,5,6,2,,5,6,2,,9,11,2,1,1,3,1,,,,,,,,,
,370,350,115,8,170,172,55,4,160,144,46,8,221,201,72,4,113,96,34,1,110,99,35,1
WICKLOW T,1109,1148,348,30,1198,1272,407,33,987,1181,380,26,909,1020,374,18,1016,1213,440,26,954,1040,389,41
DO INFIRMARY,,,,,19,10,1,,14,3,1,,,,,,,,,,,,,
DO FEVER HOSPITAL,,,,,4,,1,,,,1,,,,,,,,,,,,,
DO GAOL,,,,,100,62,1,,15,12,,,,,,,,,,,,,,
TOTAL,1479,1498,463,38,1491,1516,465,37,1176,1340,428,34,1130,1221,446,22,1129,1309,474,27,1064,1139,424,42
BALLINTIM,4,3,1,,2,2,1,,,,,1,,,,,,,,1,,,,
BALLINVALLY LOWER (ED Ennereilly),34,18,6,,29,34,9,2,22,20,8,,20,22,9,,5,6,8,,6,9,4,
BALLINVALLY UPPER (ED Ennereilly),20,17,6,,12,9,3,,24,33,11,,17,20,6,,26,27,8,,25,15,8,
BALLYDONNELL,54,49,17,,60,52,18,,19,20,10,,20,18,7,2,12,20,5,,10,13,5,
BALLYGILLAROE,14,18,4,,5,5,2,,6,6,1,,2,5,1,,4,4,1,,5,2,1,
BALLYKEAN (Annesley),31,26,7,,19,15,4,,13,15,4,,7,9,3,,10,3,2,,9,7,3,
BALLYKEAN (Penrose),20,16,5,,24,14,5,,13,13,4,1,10,16,4,,12,9,4,1,14,14,5,
BALLYKEAN (Stringer),27,22,7,,9,15,2,,10,15,2,,4,5,2,,6,6,2,,5,4,2,
BALLYNAMONA,17,20,6,,10,18,5,,6,4,1,,7,8,2,,8,6,2,,7,9,2,
BALLYROGAN LOWER,19,20,6,,22,23,5,,15,18,4,,12,11,4,,7,9,4,,11,11,4,
BALLYROGAN UPPER,26,24,6,,28,22,5,,19,24,6,,15,17,6,,10,13,3,1,14,10,4,
BLINDWOOD,9,12,3,,4,2,2,,6,5,2,,3,2,1,1,3,3,2,,3,4,2,
CHAPEL,18,17,6,,21,12,5,,11,10,5,,13,13,5,,8,12,4,,6,10,4,
COOLANEARL,36,40,10,,20,22,7,,21,23,9,,18,23,9,1,14,15,4,,10,10,4,
CRONE LOWER,25,24,8,,15,14,5,2,5,7,1,,5,9,2,,8,14,4,,5,7,3,
CRONE UPPER,5,7,2,,7,4,2,,23,19,6,,13,14,6,1,9,14,5,,11,8,3,
KILMACOO,19,20,6,2,26,20,7,,12,12,4,,4,4,2,,2,5,1,,3,1,1,
KILMACREA LOWER,25,20,7,,19,26,8,,31,25,8,,19,16,7,1,13,19,7,,5,7,3,1
KILMACREA UPPER,44,39,12,,20,28,6,,7,11,4,,11,13,4,,2,1,1,,3,3,1,1
KILMURRY NORTH,25,30,8,1,27,23,8,,25,24,9,,15,16,5,1,24,18,7,,16,14,4,2
KILMURRY SOUTH,16,17,5,,12,9,3,,9,8,2,,15,16,5,,4,3,2,,8,5,1,2
OGHIL LOWER,54,51,15,,42,57,18,,39,38,14,1,27,31,13,1,20,21,9,2,14,16,6,1
OGHIL UPPER,44,62,18,1,23,30,9,1,36,22,9,,20,17,7,,22,14,8,,15,10,4,
RAHAVAL,13,12,2,,14,6,2,,13,9,2,,12,6,2,,11,6,8,,6,4,2,
REDCROSS,,,,,32,25,9,1,12,5,3,,,,,,,,,,5,2,2,1
SPRINGFARM,4,14,4,,10,11,4,,12,12,4,,8,11,4,,11,14,4,,19,10,4,
TEMPLELYON LOWER,14,13,3,,20,16,5,,11,13,2,,14,14,3,,11,9,2,,5,4,1,
TEMPLELYON UPPER,18,11,3,,9,8,1,,15,8,3,,7,9,1,,6,7,2,,13,11,3,
,635,622,183,4,541,522,160,6,435,419,138,3,319,346,120,7,268,269,100,5,251,220,86,8
REDCROSS T,155,155,46,,123,144,44,9,136,143,49,3,115,121,52,2,97,107,44,1,92,98,41,3
TOTAL,790,777,229,4,664,666,204,15,571,562,187,6,434,467,172,9,365,376,144,6,343,318,127,11
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,6347,7085,2853,248
BALLINASTOE,177,143,46,,147,131,38,3,131,110,35,,117,89,31,1,102,76,28,,95,64,26,2
BALLINRUSH,20,18,6,1,26,17,7,,26,16,7,,26,13,7,,16,12,7,,10,17,7,
GLASNAMULLEN,173,152,43,3,126,122,38,1,82,72,25,2,81,67,24,2,54,44,18,,58,57,17,2
MULLINAVEIGE,68,60,18,1,81,71,18,2,63,51,14,,49,35,14,,45,44,15,1,51,33,15,
SLEAMAINE or BALLINVALLA,59,58,18,,86,92,26,,48,38,16,,35,38,12,,37,29,12,,31,21,10,2
SRAGHMORE,99,90,25,,97,94,28,,62,69,23,,57,51,23,,45,42,18,2,39,31,16,2
TOTAL,596,521,156,5,563,527,155,6,412,356,120,2,365,293,111,3,299,242,99,3,284,223,91,8
ASHTOWN or BALLINAFUNSHOGE,79,67,18,,70,79,23,,61,69,21,,58,63,20,,33,41,15,,32,40,15,
BALLINACORBEG,47,43,14,,40,38,11,,32,28,8,,24,28,7,,24,24,8,1,28,22,9,
BALTYNANIMA,78,85,23,2,65,62,21,1,47,50,14,,46,51,15,,25,31,13,1,24,27,11,1
BROCKAGH,409,376,138,11,464,439,149,4,417,382,130,5,513,461,182,1,415,360,153,7,191,150,83,36
CARRIGEENDUFF,58,42,14,2,47,36,11,1,31,35,9,2,34,38,9,,33,28,10,,27,21,10,1
CARRIGEENSHINNAGH,64,58,19,1,65,62,19,,61,55,16,1,50,48,15,,43,35,12,1,28,24,10,1
CARRIGROE,10,7,3,,13,17,3,,3,8,2,,8,11,3,,5,6,3,1,4,3,2,1
CASTLEKEVIN,151,138,36,,108,102,26,,89,100,28,1,78,85,25,,62,56,23,1,40,39,17,6
CLOGHOGE,86,62,19,,52,43,16,3,6,8,2,,6,3,2,3,2,,1,,2,1,2,
DERRYBAWN,82,74,24,1,74,71,22,1,47,40,14,,47,36,14,,32,40,14,,21,22,10,4
DRUMMIN,194,182,56,1,139,114,43,3,105,91,38,4,117,97,39,,110,94,36,6,91,85,32,7
GLEBE (ED Glendalough),13,11,3,,14,11,4,,18,23,4,1,10,15,4,,9,11,4,,10,10,4,
LARAGH EAST,129,132,40,,182,178,58,3,160,130,51,5,142,121,45,,116,108,46,3,101,91,37,2
LARAGH WEST,103,104,31,2,21,17,6,,25,21,6,,19,23,5,,18,23,6,,18,16,6,
LUGDUFF,13,11,2,,9,14,4,,12,10,3,,3,5,1,,4,4,1,,5,3,1,
RAHEEN (ED Glendalough),60,47,16,1,43,36,11,,48,46,12,,41,44,11,,35,26,12,,27,22,12,
ROUNDWOOD,122,118,35,1,93,93,28,1,86,87,26,,75,68,27,,54,53,18,4,39,41,15,3
SEVENCHURCHES or CAMADERRY,68,62,20,,60,51,16,,137,101,35,8,157,132,45,,121,116,43,10,47,37,18,23
TOGHER BEG,29,19,6,,13,14,5,1,15,7,4,,35,27,11,,3,5,2,,2,3,2,
TOGHER MORE,35,19,6,,59,31,12,2,63,44,15,,53,48,17,,4,10,2,,8,12,4,
TOMDARRAGH,104,103,29,,78,77,22,2,63,93,26,,68,70,26,,51,54,20,4,51,50,21,1
TOMRILAND,140,133,38,,114,104,31,,90,91,28,,65,68,24,,51,59,23,1,50,62,24,1
,,,,,,,,,1616,1519,501,28,1644,1548,548,4,1250,1184,471,40,844,783,345,87
BROCKAGH TOWN,,,,,,,,,77,78,33,1,,,,,,,,,,,,
ROUNDWOOD,,,,,,,,,,,,,,,,,90,77,31,2,68,59,31,
TOTAL,2074,1893,590,22,1823,1689,541,22,1693,1597,534,29,1644,1548,548,4,1340,1261,502,42,912,842,376,87
BALLARD,43,36,11,,28,26,8,,21,16,6,1,23,21,7,,19,15,8,,12,11,6,
BALLARDPARK,17,11,4,,12,10,4,,10,12,3,,9,11,3,,2,5,2,1,1,2,1,1
BALLINABARNY,75,81,22,,52,55,16,,46,33,15,,31,33,12,,29,30,13,,40,32,12,
BALLINATUNSHOGE,38,50,18,8,75,61,21,,27,24,11,1,4,5,4,8,4,4,3,,9,7,4,
BALLINAGONEEN,5,4,1,,4,2,1,,2,1,1,,2,1,1,,1,1,1,,2,1,1,
BALLINTOMBAY LOWER,61,63,19,,40,35,12,1,47,40,13,1,28,30,10,,20,18,8,1,20,13,7,
BALLINTOMBAY UPPER,44,45,14,,30,31,12,,40,33,14,1,21,13,8,,23,11,9,,18,13,8,
BALLYBOY,14,18,7,,13,14,3,,10,13,3,,8,11,2,,9,7,3,,8,8,2,1
BALLYBRAID,26,25,10,,15,13,5,,17,16,6,,12,12,5,4,10,9,4,,9,8,4,
BALLYLUG,67,61,19,,28,26,8,,26,20,7,,22,25,8,,18,20,7,,16,20,6,
BALLYLUSK,33,29,12,,18,17,5,,19,9,6,,19,8,5,,12,5,8,,6,5,4,1
BALLYSHEAMAN,16,16,6,,7,9,2,,8,8,2,,1,4,1,,3,5,1,,2,3,1,
BALLYTEIGE,23,21,5,,14,8,3,,6,4,2,1,5,3,2,1,7,6,8,,5,9,4,
CARRIGLINNEEN,70,59,22,,68,58,19,,49,44,18,,52,47,17,,47,36,16,,32,28,15,2
CLARABEG NORTH,16,11,5,,23,16,8,,40,37,14,,13,7,5,,45,28,18,,38,17,12,
CLARABEG SOUTH,37,32,10,,5,3,1,,4,4,1,,1,2,1,,1,3,1,,2,3,1,
CLARA MORE,25,22,7,,14,19,6,1,16,16,7,2,10,10,5,,15,12,5,1,11,19,5,1
CONAVALLA,,,,,,,,,,,,,,,,,,,,,,,,
CULLENTRAGH BIG,74,72,24,1,40,41,12,1,41,41,11,,34,32,10,,27,26,9,,20,15,8,
CULLENTRAGH LITTLE,23,18,5,,5,4,1,,4,3,1,,2,2,1,,4,2,1,,4,1,1,
CULLENTRAGH PARK,16,11,3,,11,9,3,,11,12,5,,9,10,4,,5,5,2,,3,3,2,
GREENAN BEG,25,45,10,,23,33,8,,19,24,7,,19,24,7,,13,13,5,,11,10,5,
GREENAN MORE,21,21,7,,12,8,2,,19,26,7,1,24,32,8,,27,25,9,,24,22,9,
KIRIKEE,89,102,28,,71,46,19,,46,49,18,,40,47,18,,37,31,15,,34,41,15,
KNOCKRATH BIG,64,56,15,1,35,24,11,,29,31,12,1,34,27,10,,27,30,10,,24,22,10,
KNOCKRATH LITTLE,30,32,10,1,31,26,8,1,21,10,8,1,23,18,7,1,26,22,7,,19,13,5,1
LICKEEN,13,15,5,,13,13,3,,13,12,3,,17,12,5,,11,4,3,,9,3,3,1
TROOPERSTOWN,156,130,44,,133,109,39,3,108,94,34,2,94,81,30,,102,82,34,,75,61,30,2
TOTAL,1121,1086,343,11,820,716,240,7,699,641,235,12,555,528,197,14,542,455,196,3,454,390,181,10
AVONDALE,12,11,2,,13,13,3,,10,22,8,,21,15,7,,15,12,7,1,10,11,6,
BALLINACARRIG LOWER,147,131,37,1,91,74,26,2,99,92,29,2,84,68,30,,63,52,24,3,60,46,22,1
BALLINACARRIG UPPER,32,27,9,,16,13,4,,30,20,7,,19,13,4,,16,10,4,,14,9,5,
BALLINDERRY LOWER,24,23,5,,31,32,9,,23,14,5,,23,21,9,,14,19,8,1,16,15,7,1
BALLINDERRY UPPER,79,97,27,1,36,29,11,,45,39,11,,23,22,8,,18,11,7,1,17,8,6,
BALLYCARRIGEEN,18,14,4,,9,10,3,,7,3,2,,6,5,2,,7,3,2,,4,3,2,
BALLYDOWLING,64,59,19,,32,20,10,1,6,3,3,,8,6,2,,9,6,2,1,4,2,1,
BALLYDOWLING HILL,14,11,4,,3,3,3,1,3,6,2,,3,5,1,,,,,,2,4,1,
BALLYGANNON,15,20,5,1,21,29,8,,24,29,7,,158,224,1,,218,218,6,,139,148,5,
BALLYHAD LOWER,34,35,12,,33,29,9,,25,32,8,,24,30,8,,25,28,9,1,27,28,9,
BALLYHAD UPPER,51,50,14,1,19,18,6,,11,8,4,,11,6,3,,8,10,3,,7,3,2,1
BALLYKNOCKAN LOWER,15,24,4,,9,8,2,,7,6,3,,6,4,2,,6,4,2,,3,2,1,
BALLYKNOCKAN UPPER,12,18,4,,21,18,4,,19,14,4,,11,11,4,,9,10,4,,9,11,4,
BALLYSHEEMAN,16,14,4,,13,9,3,,8,6,3,,5,6,2,,6,5,3,,4,4,3,
BALLYTRASNA,7,1,3,1,8,6,2,,10,4,2,,3,4,1,,5,5,2,,10,12,5,
COPSE,44,48,11,,15,13,5,1,14,11,5,,14,10,5,,10,7,4,,8,7,5,
CORBALLIS LOWER,39,26,9,,22,28,7,,49,44,15,,7,16,8,,7,12,4,1,9,24,4,
CORBALLIS UPPER,51,60,14,,43,41,14,,44,35,12,,22,23,8,,19,33,9,,24,21,8,2
GARRYMORE LOWER,39,30,10,,32,20,7,,18,18,8,,12,13,6,,11,11,4,,14,11,4,
GARRYMORE UPPER,28,30,10,,14,15,6,,17,16,7,,11,14,5,1,7,6,3,,5,2,3,
KNOCKADOSAN,12,11,3,,31,27,6,1,44,27,10,,33,40,10,,31,35,15,,37,37,15,1
MEETINGS,66,51,18,,62,53,14,,33,30,10,,30,30,9,3,22,28,10,,29,26,11,
RATHDRUM,21,22,6,,51,56,14,,34,32,5,,,,,,35,35,13,3,83,35,11,2
TANSEYCLOSE,11,9,4,,7,8,5,,7,6,2,1,4,5,2,,4,3,1,,1,1,1,1
,851,822,238,5,632,572,179,6,596,517,172,3,544,591,138,4,565,563,146,12,536,470,141,9
RATHDRUM,587,645,146,8,479,468,132,9,742,629,150,10,427,502,140,3,360,373,119,8,333,331,117,12
DO WORKHOUSE,,,,,445,735,3,,118,192,1,,,,,,,,,,,,,
TOTAL,1438,1467,384,13,1556,1775,314,15,1456,1338,323,13,971,1093,278,7,925,936,265,20,869,801,258,21
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,2519,2258,906,126
AGHAVANNAGH (Ram),41,35,10,1,31,25,8,,46,30,11,,47,31,11,1,27,26,8,,24,18,6,2
AGHAVANNAGH (Revell),40,33,10,2,23,21,5,3,22,21,6,,23,19,5,,30,23,8,,12,14,5,1
BALLINACOR (ED Ballinacor),111,90,31,4,76,64,22,3,42,44,16,3,41,39,16,1,45,51,18,1,43,42,16,2
BALLINAGAPPOGE,41,34,11,1,22,22,10,1,11,11,6,,12,15,7,2,7,12,4,1,12,10,3,
BALLINANTY,4,6,1,,4,6,1,,4,5,1,,3,4,1,,3,4,1,,2,3,1,
BALLINASKEA,8,6,2,,10,11,2,,13,6,2,,7,4,2,,5,4,2,,4,5,2,
BALLINATONE LOWER,26,31,9,1,33,36,7,,27,28,6,2,24,16,5,,16,15,6,1,7,5,4,3
BALLINATONE UPPER,48,34,10,,28,16,8,,24,19,10,,15,22,7,,19,16,6,,9,8,4,
BALLYCREEN LOWER,33,30,10,1,15,7,5,,7,5,4,,7,5,3,,5,5,3,,8,2,2,
BALLYCREEN UPPER,33,27,8,,30,23,6,,21,14,4,1,17,15,5,,20,17,5,,15,18,5,
BARAVORE,17,13,4,,,,,,57,46,14,8,16,11,4,15,10,7,3,13,5,4,2,7
CAPPAGH,81,60,21,,56,48,16,,44,38,16,,47,35,11,3,37,34,13,,31,35,12,1
CLOHERNAGH,26,23,6,,14,15,5,,11,10,3,,6,2,1,,5,2,1,,3,3,1,
CLONKEEN,5,5,1,,12,7,2,,3,3,1,,3,2,1,,5,3,1,,3,3,1,
COOLGARROW,47,53,15,,32,38,14,,11,14,5,,10,12,4,,4,6,2,,3,4,2,
CORRASILLAGH,17,16,8,2,18,14,4,,16,14,3,,15,10,3,,6,7,3,,6,2,2,1
FANANIERIN,4,4,2,,1,1,1,,2,,1,,1,2,1,,2,2,1,,6,4,2,
MONEYMEEN,11,11,3,,8,4,2,,6,5,2,,6,3,2,,4,2,2,,3,3,2,
MUCKLAGH (ED Ballinacor),98,97,37,2,33,31,13,3,33,26,13,,20,15,10,1,16,14,6,2,16,11,7,1
ROSAHANE,35,25,9,,33,29,10,,16,17,6,,10,20,6,,9,11,5,,6,5,2,1
,726,633,208,14,479,418,141,10,416,356,130,14,,,,,,,,,,,,
BARAVORE,,,,,154,124,33,,,,,,,,,,,,,,,,,
TOTAL,726,633,208,14,633,542,174,10,416,356,130,14,330,282,105,23,275,263,99,18,218,199,81,19
AUGHRIM LOWER,106,98,40,,106,85,36,3,88,84,32,1,126,112,47,4,34,38,19,,41,42,17,3
AUGHRIM UPPER,94,87,30,1,56,50,22,,39,50,14,,37,35,11,2,28,27,11,,33,32,11,
BAHANA (King),29,28,7,,21,24,7,1,18,15,4,,14,7,3,,11,9,8,,8,7,3,
BAHANA (Whaley),29,32,11,,26,18,4,,32,23,8,,26,22,8,,22,17,9,,12,11,6,2
BALLARD,72,71,15,,62,62,15,,36,40,12,,41,42,12,1,32,40,11,,30,31,11,
BALLEESHAL,32,32,12,,24,27,10,,19,21,8,,10,14,6,1,10,17,7,,10,8,4,
BALLINACLASH,83,74,21,,114,96,28,2,130,118,38,,70,80,30,1,9,9,4,,44,38,21,
BALLYEUSTACE,2,3,2,,,,,,,,,,,,,,,,,,,,,
BALLYMONEY,18,14,5,,10,7,3,,18,12,3,,8,8,3,,7,10,3,,6,4,2,
BALLYMORRIS LOWER,33,34,12,1,16,14,7,,16,17,10,1,23,20,11,,27,26,10,,23,21,8,
BALLYMORRIS UPPER,68,62,19,1,23,18,7,,19,15,10,,23,21,9,,28,17,10,1,27,24,8,1
BALLYSHANE,59,68,19,,40,32,10,1,24,22,8,,21,23,7,,21,22,7,,15,11,5,2
CLONEEN,36,39,12,,30,35,10,,17,13,6,,25,19,7,,12,20,5,,15,14,5,
CLONERKIN,46,47,16,,50,40,15,,39,24,9,,26,19,8,,18,18,7,,19,22,8,
COOLAFLAKE,50,56,20,1,33,46,14,,68,59,20,,37,34,18,3,33,38,13,,19,19,8,
CRAFFIELD,85,82,26,,37,36,10,2,18,15,3,3,19,18,5,1,16,19,3,,10,10,5,
CRONAWINNIA,35,23,9,,19,16,5,,13,9,4,,6,12,3,,11,10,3,,7,9,8,
CRONE BEG,43,36,9,,14,14,5,,17,12,5,,21,12,4,,14,14,4,,6,5,2,
CRONE MORE,26,30,9,,14,11,6,,28,19,11,2,19,16,9,2,10,12,8,,9,11,4,
CRONESALLAGH,20,24,6,,39,55,16,,21,18,6,,13,8,3,,6,9,2,,4,3,2,
KILLEAGH,56,48,14,,55,42,15,,57,55,18,,61,47,17,1,30,18,9,,22,15,7,
MACREDDIN EAST,26,35,10,3,,,,,,,,,3,2,1,,,,,,,,,
MACREDDIN WEST,20,25,6,,32,37,9,2,26,19,7,1,13,4,4,,13,9,5,2,10,8,5,
MONGNACOOL LOWER,14,18,6,,20,20,7,,27,21,5,,14,18,5,1,7,10,5,,4,6,3,1
MONGNACOOL UPPER,37,21,8,,24,17,5,,14,10,4,,,,,,,,,,,,,
SHEEANABEG (Robeck),16,17,6,1,19,18,5,,12,13,3,,8,13,3,,8,6,2,,8,6,2,
SHEEANABEG (Whaley),15,7,3,1,,,,1,4,1,1,,,,,1,,,,,,,,
SHEEANA MORE,71,59,19,2,52,50,16,1,44,33,15,,39,33,14,,29,35,11,1,20,20,8,1
THREEWELLS,57,62,19,,36,42,11,,31,32,9,,25,29,10,,21,15,6,,14,12,5,
TINNAKILLY LOWER,34,29,13,,34,20,10,,33,29,10,,42,28,12,,39,34,13,,38,26,11,
TINNAKILLY UPPER,89,93,29,,47,64,17,3,35,41,11,3,42,43,14,,24,24,11,,31,37,14,
,,,,,,,,,,,,,,,,,522,522,202,4,485,452,188,10
AUGHRIM TOWN,,,,,,,,,,,,,,,,,91,104,38,4,94,87,39,2
BELLINECLESH VILLAGE,,,,,,,,,,,,,,,,,70,57,20,,,,,
TOTAL,1401,1354,433,11,1053,996,325,16,943,840,294,11,815,748,284,18,683,683,260,8,579,539,227,12
MILL LAND,18,9,5,,9,4,2,1,6,4,2,1,3,6,3,,3,2,9,,1,2,1,
ARDOYNE,83,78,32,,65,76,29,2,36,37,15,,26,32,13,1,29,24,13,,21,30,11,1
BALLINASILLOGE,72,74,23,,45,40,18,2,34,25,11,,37,25,12,,31,22,10,,24,20,9,1
BALLYMAGHROE,51,51,15,,44,44,14,,45,49,14,,35,44,15,,39,37,15,,40,33,14,
CARRIGNAMUCK,50,39,17,,37,37,15,,17,12,5,,17,16,6,,17,18,7,,11,11,6,1
CARRIGNAMWEEL,60,67,17,,38,53,19,,13,20,8,,16,23,7,,20,23,8,,25,23,9,
KILCARNEY LOWER,28,27,8,,23,22,7,,18,21,5,1,16,18,5,,25,19,7,,19,13,6,1
KILCARNEY UPPER,43,32,11,,18,13,5,2,23,16,8,2,28,24,10,,14,10,6,,14,11,6,1
KNOCKANANNA,209,208,66,2,124,125,45,4,61,68,21,1,64,72,23,,65,61,23,2,52,65,23,2
KNOCKANOOKER LOWER,14,15,5,,10,11,4,,9,7,3,,17,14,4,,20,13,4,,10,11,3,
KNOCKANOOKER UPPER,48,40,14,,27,27,10,,25,31,9,,26,24,7,1,21,21,7,,20,15,8,
KNOCKNAGILKY LOWER,5,12,4,1,2,7,1,,8,4,2,,2,2,1,,8,6,2,,4,3,1,1
KNOCKNAGILKY UPPER,23,16,6,,12,4,4,,12,13,4,,17,19,6,,14,19,5,,19,18,8,
KNOCKNASHAMROGE,31,32,10,,16,27,8,1,16,24,7,,22,22,7,,26,16,7,,22,14,7,
KNOCKNASKEAGH,32,29,8,,31,25,10,1,27,27,10,,17,22,6,,9,16,5,,11,11,5,
RATHBANE,79,72,28,,51,46,19,1,44,52,17,,47,50,18,1,44,52,17,,44,38,18,
RATHCOT,18,16,6,,16,22,6,,12,23,6,,12,21,5,,11,12,5,,13,9,5,
RATHDUFFMORE,48,48,14,,27,30,11,,20,28,8,,14,20,7,,23,32,8,,18,21,6,1
RATHMEAGUE,44,43,13,1,30,29,11,1,22,27,9,1,31,24,9,,30,21,8,1,17,16,7,1
RATHSHANMORE EAST,18,20,5,,12,10,5,,13,6,4,,10,6,4,,18,10,4,,12,11,3,
RATHSHANMORE SOUTH,29,25,7,,27,20,6,,23,20,6,,16,15,5,,11,9,4,,6,4,2,
RATHSHANMORE WEST,45,46,16,,20,31,6,1,20,26,6,,12,15,5,,16,18,5,,21,20,6,
TOTAL,1030,990,325,4,675,699,253,15,498,536,178,5,485,507,177,3,496,459,170,3,423,397,159,10
BALLINACOR (ED Tinahely),65,60,19,,27,32,7,2,17,12,6,1,18,17,7,,17,17,7,,16,10,5,
BALLYBEG,64,75,19,,36,40,14,,25,33,10,1,27,27,10,,27,30,8,3,19,22,7,2
BALLYCUMBER NORTH,39,50,11,,24,20,6,1,18,12,5,,12,15,4,,16,15,4,,10,11,4,
BALLYCUMBER SOUTH,59,58,20,1,43,48,14,1,31,38,13,1,33,35,12,,35,35,13,,25,30,10,2
BALLYNAMANOGE,55,42,14,,48,47,14,,41,37,11,,37,37,10,,27,25,10,,27,23,10,
BALLYSHONOG,83,89,26,,53,59,19,2,41,34,15,,34,34,12,,41,37,12,,38,26,13,
BRIDGELAND,36,29,12,,29,25,11,3,25,18,8,2,25,23,9,,22,12,7,2,14,13,7,2
