Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Townland_Gaelic,Townland_Description,Placename_Theme
AGHOWLE UPPER,39.0,40.0,11.0,,29.0,21.0,9.0,,29.0,25.0,9.0,,28.0,16.0,8.0,,19.0,20.0,8.0,,22.0,13.0,8.0,2.0,Achadh Abhall Uachtarach,"The Irish form points to abhall = orchard or apple tree, uachtarach = upper. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
BALLYBEG,11.0,10.0,4.0,,15.0,11.0,4.0,,11.0,13.0,3.0,,,,,,9.0,9.0,3.0,,5.0,12.0,3.0,1.0,An Baile Beag,"The Irish form points to baile = settlement or town, beag = small. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
CRONE,7.0,10.0,1.0,,10.0,14.0,2.0,,10.0,13.0,4.0,,10.0,13.0,3.0,,6.0,8.0,2.0,,2.0,2.0,1.0,1.0,An Corrán,"The Irish form points to corrán = sickle-shaped strip or corner. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
AGHOWLE LOWER,123.0,133.0,47.0,1.0,90.0,100.0,35.0,1.0,66.0,63.0,24.0,,67.0,56.0,22.0,,57.0,49.0,22.0,,54.0,41.0,20.0,1.0,Achadh Abhall Íochtarach,"The Irish form points to abhall = orchard or apple tree, íochtarach = lower. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
AGHOWLE UPPER,68.0,98.0,23.0,1.0,43.0,55.0,18.0,1.0,26.0,36.0,14.0,,39.0,33.0,14.0,,31.0,31.0,13.0,,32.0,33.0,12.0,,Achadh Abhall Uachtarach,"The Irish form points to abhall = orchard or apple tree, uachtarach = upper. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
BALLARD,31.0,44.0,9.0,1.0,4.0,9.0,1.0,1.0,,,,,5.0,2.0,1.0,,4.0,4.0,1.0,,3.0,3.0,1.0,,An Baile Ard,"The Irish form points to baile = settlement or town, ard = height. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BARNACASHEL,14.0,13.0,5.0,,4.0,6.0,3.0,,3.0,1.0,1.0,,2.0,2.0,1.0,,2.0,4.0,1.0,,1.0,2.0,1.0,,Bearna Chaisil,"The Irish form points to bearna = gap or pass, chaisil = stone fort. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
BOLEY,131.0,129.0,41.0,,79.0,56.0,21.0,2.0,74.0,38.0,18.0,,30.0,38.0,17.0,,49.0,40.0,17.0,,44.0,43.0,15.0,1.0,An Bhuaile,"The Irish form points to bhuaile = booley or cattle enclosure. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
COOLKENNA,200.0,191.0,60.0,3.0,131.0,127.0,43.0,2.0,119.0,115.0,43.0,3.0,121.0,110.0,43.0,,114.0,113.0,40.0,3.0,101.0,86.0,38.0,2.0,Cúil Uí Chionaoith,"The Irish form points to uí = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
CRONE,24.0,28.0,9.0,,17.0,19.0,6.0,,18.0,16.0,4.0,,14.0,7.0,3.0,,8.0,5.0,3.0,1.0,5.0,6.0,2.0,,An Corrán,"The Irish form points to corrán = sickle-shaped strip or corner. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
KILLABEG,104.0,116.0,33.0,3.0,82.0,88.0,26.0,2.0,46.0,52.0,18.0,1.0,41.0,46.0,17.0,,44.0,42.0,16.0,1.0,35.0,39.0,16.0,,An Choill Bheag,"The Irish form points to choill = wood. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
KILLINURE,317.0,301.0,91.0,1.0,191.0,167.0,59.0,4.0,135.0,139.0,48.0,1.0,116.0,129.0,43.0,1.0,119.0,105.0,39.0,,106.0,108.0,35.0,2.0,Cill an Iúir,"The Irish form points to cill = church or early ecclesiastical site. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
LUMCLOON,61.0,71.0,22.0,,20.0,26.0,11.0,1.0,15.0,22.0,11.0,,19.0,22.0,8.0,,24.0,20.0,6.0,,22.0,17.0,6.0,,Lomchluain,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MINMORE,3.0,7.0,1.0,,,,,,,,,,4.0,2.0,1.0,,,,,,,,,,Mionn Mór,The Irish form points to mór = big/great. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MONEY LOWER,53.0,65.0,17.0,1.0,50.0,37.0,10.0,2.0,33.0,33.0,10.0,,35.0,38.0,10.0,,,32.0,9.0,1.0,24.0,28.0,8.0,2.0,An Muine Íochtarach,"The Irish form points to muine = thicket or scrub, íochtarach = lower. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
MONEY UPPER,111.0,92.0,31.0,1.0,84.0,69.0,26.0,4.0,61.0,51.0,19.0,1.0,74.0,65.0,22.0,,61.0,63.0,23.0,,60.0,44.0,17.0,2.0,An Muine Uachtarach,"The Irish form points to muine = thicket or scrub, uachtarach = upper. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
MUNGACULLIN,68.0,82.0,25.0,,58.0,67.0,20.0,,48.0,48.0,17.0,1.0,49.0,36.0,18.0,,35.0,26.0,11.0,,27.0,23.0,10.0,,Moing an Chuilinn,"The Irish form points to moing = bogland, chuilinn = holly. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
QUIGGINROE,31.0,35.0,14.0,,29.0,32.0,13.0,,10.0,11.0,4.0,,12.0,10.0,4.0,,,,,,11.0,9.0,3.0,,An Chuigeann Rua,The Irish form points to rua = red. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
RAHEENAKIT,10.0,10.0,4.0,,9.0,4.0,2.0,,5.0,5.0,2.0,,10.0,7.0,2.0,,,,,,7.0,6.0,3.0,,Ráithín an Chait,"The Irish form points to ráithín = small ringfort. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
ARDOYNE,148.0,159.0,48.0,2.0,120.0,128.0,39.0,2.0,115.0,107.0,37.0,2.0,90.0,84.0,31.0,,,,,,75.0,69.0,31.0,2.0,Ard Dúin,"The Irish form points to ard = height. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KNOCKLOE,42.0,50.0,14.0,,28.0,31.0,10.0,1.0,33.0,32.0,11.0,,24.0,27.0,11.0,,,,,,25.0,23.0,9.0,,Cnoc Luaithe,"The Irish form points to cnoc = hill. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
RATH,2.0,3.0,1.0,,2.0,1.0,1.0,,5.0,2.0,1.0,,2.0,2.0,1.0,,,,,,5.0,3.0,2.0,,An Ráth,"The Irish form points to ráth = ringfort or enclosed settlement. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
TULLOWCLAY,41.0,49.0,14.0,,40.0,44.0,11.0,,34.0,29.0,10.0,,24.0,26.0,10.0,,,,,,17.0,15.0,8.0,1.0,Tulach Cliath,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BALLARD,35.0,29.0,13.0,1.0,21.0,16.0,6.0,1.0,10.0,10.0,5.0,,,,,,,,,,90.0,128.0,7.0,,An Baile Ard,"The Irish form points to baile = settlement or town, ard = height. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLINGATE LOWER,51.0,47.0,15.0,,42.0,41.0,14.0,,35.0,30.0,12.0,,40.0,28.0,11.0,,,,,,30.0,21.0,10.0,,Buaile an Gheata Íochtarach,"The Irish form points to buaile = booley or cattle enclosure, íochtarach = lower. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
BALLINGATE UPPER,68.0,50.0,17.0,,22.0,28.0,7.0,,32.0,34.0,14.0,,26.0,25.0,11.0,,,,,,29.0,35.0,11.0,,Buaile an Gheata Uachtarach,"The Irish form points to buaile = booley or cattle enclosure, uachtarach = upper. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
BALLYKELLY,84.0,94.0,23.0,,63.0,63.0,17.0,1.0,30.0,24.0,8.0,,16.0,23.0,7.0,,,,,,13.0,18.0,5.0,,Baile Uí Cheallaigh,"The Irish form points to baile = settlement or town, uí = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYKNOCKER,13.0,12.0,4.0,,16.0,12.0,5.0,,24.0,15.0,8.0,,21.0,22.0,6.0,1.0,,,,,10.0,9.0,3.0,,Baile Chnocair,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
CARNEW,211.0,245.0,68.0,,102.0,104.0,38.0,1.0,63.0,75.0,22.0,1.0,54.0,48.0,19.0,,,,,,37.0,42.0,14.0,1.0,Carn an Bhua,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLATTIN,165.0,155.0,47.0,,111.0,86.0,29.0,,81.0,81.0,24.0,,81.0,66.0,24.0,,,,,,56.0,57.0,21.0,,Cúil Aitinn,"The Irish form points to aitinn = furze or gorse. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
COOLATTIN PARK,12.0,17.0,3.0,,32.0,39.0,6.0,2.0,14.0,13.0,6.0,,16.0,10.0,7.0,,,,,,16.0,11.0,4.0,,Páirc Chúil Aitinn,"The Irish form points to páirc = field, aitinn = furze or gorse. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
COOLBOY,155.0,145.0,45.0,,95.0,97.0,32.0,2.0,71.0,53.0,23.0,3.0,77.0,64.0,25.0,,,,,,72.0,61.0,25.0,,An Cúl Buí,The Irish form points to buí = yellow. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
CRONYHORN LOWER,66.0,54.0,16.0,,52.0,44.0,17.0,,57.0,48.0,15.0,,49.0,43.0,14.0,,,,,,40.0,36.0,12.0,,Corrán na hEorna Íochtarach,"The Irish form points to corrán = sickle-shaped strip or corner, íochtarach = lower. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
CRONYHORN UPPER,130.0,130.0,40.0,,90.0,73.0,24.0,,83.0,70.0,21.0,,58.0,55.0,17.0,,,,,,61.0,51.0,20.0,,Corrán na hEorna Uachtarach,"The Irish form points to corrán = sickle-shaped strip or corner, uachtarach = upper. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
GLENNASHOUK,25.0,13.0,8.0,,31.0,19.0,7.0,,21.0,15.0,5.0,,14.0,8.0,3.0,,,,,,15.0,8.0,4.0,,Gleann na Seabhac,"The Irish form points to gleann = glen or valley. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
HILLBROOK LOWER,69.0,76.0,27.0,,32.0,38.0,13.0,2.0,38.0,35.0,12.0,,36.0,36.0,11.0,,,,,,32.0,26.0,9.0,1.0,Sruthán an Chnoic Íochtarach,"The Irish form points to sruthán = stream, íochtarach = lower. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
HILLBROOK UPPER,36.0,30.0,10.0,,16.0,18.0,6.0,2.0,7.0,9.0,5.0,,8.0,16.0,4.0,,,,,,8.0,4.0,3.0,,Sruthán an Chnoic Uachtarach,"The Irish form points to sruthán = stream, uachtarach = upper. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KENNYSTOWN,36.0,33.0,12.0,,13.0,13.0,5.0,,9.0,13.0,4.0,,5.0,9.0,3.0,,,,,,12.0,9.0,3.0,,Baile Uí Chionaoith,"The Irish form points to baile = settlement or town, uí = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
KILCAVAN LOWER,35.0,51.0,13.0,2.0,50.0,50.0,17.0,1.0,37.0,38.0,17.0,,33.0,32.0,13.0,,,,,,26.0,26.0,12.0,,Cill Chaomháin Íochtarach,"The Irish form points to cill = church or early ecclesiastical site, chaomháin = saint or personal name Kevin/Caomhán. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
KILCAVAN UPPER,74.0,95.0,27.0,,27.0,28.0,8.0,,22.0,24.0,8.0,,20.0,20.0,3.0,,,,,,21.0,19.0,6.0,,Cill Chaomháin Uachtarach,"The Irish form points to cill = church or early ecclesiastical site, chaomháin = saint or personal name Kevin/Caomhán. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
MINMORE,10.0,9.0,3.0,,1.0,4.0,1.0,,1.0,4.0,1.0,,1.0,1.0,1.0,,,,,,7.0,1.0,1.0,,Mionn Mór,The Irish form points to mór = big/great. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
PARKMORE,48.0,53.0,18.0,,23.0,28.0,10.0,,12.0,18.0,5.0,,9.0,13.0,4.0,,,,,,10.0,4.0,3.0,,An Pháirc Mhór,"The Irish form points to pháirc = field, mhór = big/great. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
PARKMORE (Page),15.0,8.0,2.0,,7.0,2.0,1.0,,5.0,1.0,1.0,,4.0,2.0,1.0,,,,,,2.0,,1.0,,An Pháirc Mhór (Page),"The Irish form points to pháirc = field, mhór = big/great. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
PAULBEG,30.0,32.0,8.0,,29.0,21.0,6.0,,9.0,12.0,3.0,1.0,9.0,8.0,3.0,1.0,,,,,20.0,17.0,4.0,,An Poll Beag,The Irish form points to beag = small. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
STOOPS,33.0,36.0,13.0,,9.0,7.0,3.0,,5.0,6.0,1.0,,4.0,3.0,1.0,,,,,,2.0,5.0,1.0,,Na Stoilp,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
TOMACORK,105.0,100.0,34.0,3.0,59.0,53.0,21.0,1.0,47.0,58.0,19.0,1.0,45.0,52.0,18.0,2.0,,,,,33.0,35.0,12.0,,Tom an Choirce,"The Irish form points to tom = mound or bushy hillock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
TOMBREEN,166.0,166.0,49.0,,115.0,113.0,40.0,,89.0,75.0,30.0,,73.0,85.0,23.0,,,,,,73.0,60.0,27.0,1.0,An Tom Bréan,"The Irish form points to tom = mound or bushy hillock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
TOMNAFINNOGE,107.0,106.0,34.0,1.0,76.0,63.0,23.0,1.0,67.0,63.0,21.0,,23.0,26.0,10.0,,,,,,23.0,18.0,8.0,,Tom na Feannóige,"The Irish form points to tom = mound or bushy hillock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
UMRYGAR,40.0,38.0,14.0,,41.0,29.0,11.0,1.0,33.0,34.0,12.0,,26.0,27.0,10.0,,,,,,28.0,25.0,9.0,,An tIomaire Gearr,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BALLYCONNELL,166.0,160.0,53.0,4.0,124.0,120.0,39.0,3.0,92.0,94.0,34.0,2.0,83.0,78.0,30.0,,,,,,54.0,59.0,28.0,,Baile Uí Chonaill,"The Irish form points to baile = settlement or town, uí = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
GOWLE,82.0,70.0,23.0,1.0,43.0,42.0,17.0,,31.0,34.0,15.0,,30.0,28.0,13.0,,,,,,29.0,27.0,13.0,,An Gabhal,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BOLEYBAWN,12.0,11.0,2.0,,12.0,8.0,2.0,,13.0,9.0,3.0,,11.0,10.0,3.0,,,,,,3.0,2.0,1.0,,An Bhuaile Bhán,"The Irish form points to bhuaile = booley or cattle enclosure, bhán = white or pale. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
COOLAFANCY,185.0,207.0,64.0,4.0,110.0,128.0,43.0,5.0,78.0,82.0,33.0,3.0,55.0,56.0,25.0,1.0,,,,,50.0,49.0,23.0,3.0,Cúil na Fuinse,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLROE,197.0,208.0,69.0,5.0,133.0,129.0,45.0,,111.0,86.0,34.0,,78.0,84.0,31.0,1.0,,,,,81.0,77.0,32.0,1.0,An Chúil Rua,The Irish form points to rua = red. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
GORTEEN,44.0,39.0,13.0,1.0,27.0,26.0,11.0,,16.0,16.0,8.0,,14.0,12.0,5.0,,28.0,23.0,8.0,1.0,21.0,13.0,7.0,,An Goirtín,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
GREENHALL,18.0,18.0,8.0,,5.0,6.0,3.0,,4.0,2.0,1.0,,1.0,3.0,1.0,,2.0,1.0,1.0,,4.0,3.0,1.0,,An Halla Glas,The Irish form points to glas = green/grey. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MOUNTPLEASANT,26.0,30.0,9.0,,21.0,19.0,5.0,,26.0,25.0,6.0,,18.0,14.0,5.0,,8.0,8.0,4.0,,7.0,14.0,5.0,,Mountpleasant,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
RAHEENGLASS,27.0,19.0,6.0,,19.0,9.0,5.0,,10.0,6.0,4.0,,12.0,12.0,7.0,,6.0,7.0,4.0,,7.0,10.0,3.0,,An Ráithín Glas,"The Irish form points to ráithín = small ringfort, glas = green/grey. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
KNOCKEEN,113.0,89.0,33.0,1.0,90.0,85.0,29.0,3.0,62.0,62.0,22.0,,71.0,56.0,22.0,,55.0,57.0,21.0,,55.0,55.0,21.0,1.0,An Cnoicín,"The Irish form points to cnoicín = small hill. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KNOCKLOE,32.0,29.0,7.0,,21.0,17.0,6.0,,14.0,16.0,6.0,,17.0,11.0,6.0,,22.0,21.0,8.0,,14.0,10.0,6.0,,Cnoc Luaithe,"The Irish form points to cnoc = hill. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
LISCOLMAN,139.0,137.0,39.0,,118.0,97.0,30.0,2.0,91.0,74.0,27.0,,68.0,80.0,26.0,,74.0,65.0,23.0,,63.0,51.0,22.0,,Lios Colmáin,"The Irish form points to lios = ringfort or enclosed court. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATH EAST,49.0,51.0,11.0,,35.0,34.0,10.0,1.0,22.0,28.0,10.0,,18.0,19.0,9.0,,22.0,20.0,8.0,,15.0,12.0,7.0,,An Ráth Thoir,"The Irish form points to ráth = ringfort or enclosed settlement, thoir = east. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
BALISLAND,72.0,74.0,23.0,,36.0,50.0,17.0,1.0,37.0,39.0,12.0,,32.0,42.0,11.0,1.0,38.0,37.0,11.0,,40.0,28.0,11.0,1.0,Baile Uí Aoláin,"The Irish form points to baile = settlement or town, uí = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYKNOCKER EAST,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,Baile Chnocair Thoir,"The Irish form points to baile = settlement or town, thoir = east. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYKNOCKER WEST,3.0,1.0,1.0,,4.0,4.0,2.0,,4.0,4.0,2.0,,,,,,6.0,8.0,2.0,,5.0,6.0,2.0,,Baile Chnocair Thiar,"The Irish form points to baile = settlement or town, thiar = west. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYNAVORTHA,24.0,19.0,8.0,,25.0,23.0,8.0,,22.0,25.0,6.0,,16.0,21.0,6.0,,8.0,15.0,4.0,1.0,10.0,11.0,5.0,,Baile na bhFórtach,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BARNAMUINGA,50.0,56.0,17.0,,23.0,19.0,9.0,,18.0,15.0,9.0,,15.0,18.0,8.0,,10.0,13.0,5.0,,4.0,4.0,2.0,,Barr na Moinge,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLROSS,81.0,78.0,24.0,,56.0,50.0,18.0,,41.0,44.0,15.0,,46.0,36.0,14.0,,41.0,37.0,12.0,,26.0,28.0,11.0,,Cúil Rois,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MINMORE,25.0,24.0,7.0,,25.0,17.0,5.0,,16.0,21.0,4.0,,12.0,14.0,3.0,,11.0,9.0,4.0,,12.0,9.0,4.0,,Mionn Mór,The Irish form points to mór = big/great. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MOYLISHA,91.0,71.0,25.0,,37.0,43.0,18.0,,43.0,37.0,15.0,,40.0,37.0,14.0,,39.0,44.0,14.0,,29.0,33.0,13.0,,Maoilise,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
NEWRY,141.0,114.0,30.0,,91.0,75.0,23.0,2.0,74.0,59.0,21.0,2.0,56.0,49.0,19.0,,54.0,62.0,21.0,1.0,52.0,53.0,21.0,,An Iúraigh,"The Irish form points to iúraigh = yew place. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
RAHEENGRANEY,95.0,83.0,24.0,1.0,84.0,67.0,21.0,3.0,62.0,51.0,19.0,1.0,59.0,62.0,19.0,,55.0,55.0,18.0,1.0,48.0,37.0,17.0,,Ráithín Ghráinne,"The Irish form points to ráithín = small ringfort. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
BALLYMARROGE,31.0,33.0,10.0,2.0,18.0,20.0,6.0,2.0,18.0,14.0,6.0,,16.0,13.0,4.0,,15.0,9.0,4.0,,8.0,10.0,3.0,1.0,0,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BALLYNULTAGH,313.0,308.0,102.0,5.0,169.0,180.0,61.0,7.0,125.0,97.0,37.0,2.0,142.0,149.0,50.0,,155.0,151.0,52.0,1.0,166.0,154.0,55.0,4.0,Baile an Ultaigh,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYRAHEEN,98.0,106.0,31.0,2.0,85.0,95.0,28.0,,72.0,70.0,23.0,,66.0,71.0,23.0,1.0,64.0,61.0,24.0,1.0,50.0,51.0,24.0,1.0,Baile an Ráithín,"The Irish form points to baile = settlement or town, ráithín = small ringfort. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
CRONELEA,67.0,63.0,18.0,1.0,27.0,21.0,7.0,1.0,23.0,15.0,6.0,,21.0,30.0,7.0,,25.0,33.0,8.0,1.0,28.0,29.0,10.0,,Corrán na Liath,"The Irish form points to corrán = sickle-shaped strip or corner. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
KILQUIGGIN,98.0,96.0,31.0,3.0,61.0,67.0,23.0,5.0,31.0,25.0,10.0,,24.0,25.0,9.0,,25.0,19.0,7.0,1.0,23.0,20.0,8.0,,Cill Chuiginne,"The Irish form points to cill = church or early ecclesiastical site. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
KNOCKATOMCOYLE,194.0,190.0,58.0,2.0,133.0,103.0,44.0,3.0,104.0,90.0,40.0,1.0,111.0,88.0,34.0,,102.0,93.0,35.0,1.0,84.0,81.0,32.0,,Cnoc na dTom Coill,"The Irish form points to cnoc = hill, coill = wood. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
LARAGH,41.0,41.0,13.0,2.0,23.0,18.0,9.0,3.0,20.0,16.0,6.0,1.0,14.0,19.0,8.0,,15.0,21.0,6.0,,15.0,17.0,5.0,,An Láithreach,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
SESKIN,51.0,42.0,13.0,1.0,44.0,37.0,12.0,,39.0,34.0,12.0,,27.0,52.0,11.0,,29.0,28.0,10.0,,24.0,23.0,10.0,,An Seisceann,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
STRANAKELLY,109.0,91.0,33.0,,70.0,62.0,25.0,2.0,68.0,64.0,20.0,1.0,66.0,52.0,19.0,,44.0,48.0,18.0,1.0,30.0,30.0,18.0,,Sraith na Caillí,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BALLYNULTAGH,19.0,20.0,5.0,,17.0,14.0,4.0,,15.0,12.0,4.0,,13.0,12.0,4.0,1.0,,,,,12.0,12.0,4.0,,Baile an Ultaigh,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
